venue_code,title,start_date,end_date,summary,url,notes
borghese,METAMORPHOSES OVID AND THE ARTS,2026-06-23,2026-10-11,"From June 23 to September 20, 2026, with an extraordinary extension through October 11, Galleria Borghese hosts Metamorphoses. Ovid and the Arts, a major exhibition project developed in collaboration with the Rijksmuseum, Amsterdam. Curated by Francesca Cappelletti and Frits Scholten, the exhibition was conceived through a shared scholarly dialogue between the two institutions. Following its Dutch presentation, which will close on 25 May, the project will travel to Rome in June, where it will be presented in an autonomous and original configuration. Taking Ovid’s Metamorphoses – one of the foundational and most enduring texts of the Western imagination – as its point of departure, the project explores the theme of transformation as a universal principle and as a key to interpreting the cosmos, matter, and the human condition. Ovid’s poem thus becomes the gateway to a worldview grounded in change, in the instability of forms, and in the permeability of boundaries between the human, the natural, and the divine. The spaces of Galleria Borghese constitute a particularly privileged context for the development of this exhibition project. The very foundation of the villa fuori Porta Pinciana is rooted in the symbolic universe of the Metamorphoses, making this site not only suitable but intrinsically connected to the theme of the exhibition. Cardinal Scipione Borghese commissioned the construction of the Casino nobile to house part of his collection, conceiving the architecture as a cultural device capable of weaving together myth, art, and self-representation within a coherent system of meanings. This vocation was further reinforced in the eighteenth century through the restorations commissioned by Marcantonio IV Borghese and entrusted to Antonio Asprucci, who reorganised the interiors by placing sculptures at the centre of the rooms and integrating them within a decorative programme inspired by the Metamorphoses, thereby shaping a context in which the presence of Ovid bec",https://galleriaborghese.cultura.gov.it/en/exhibition/metamorphoses/,"Found on the venue's ""current"" listing page. opening and closing date read from a sentence, not a date field: ""June 23 to September 20, 2026""."
borghese,[upcoming page],,,,https://galleriaborghese.cultura.gov.it/en/mostre/future/,"The venue's ""upcoming"" listing page loaded but no exhibitions could be read from it. Marker row, not an exhibition."
borghese,RETURN TO GALLERIA BORGHESE. GIOVAN FRANCESCO PENNI AND RAPHAEL’S WORKSHOP,2026-03-17,2026-05-10,"HomeExhibitionsPast RETURN TO GALLERIA BORGHESE. GIOVAN FRANCESCO PENNI AND RAPHAEL’S WORKSHOP From March 17 to May 10, 2026, Galleria Borghese will host an exhibition curated by Lucia Calzona, dedicated to the “homecoming” of a precious allegory, the Allegory of Good Hope, attributed to Giovan Francesco Penni and acquired at auction on May 14, 2025. This acquisition is part of a project, strongly championed by the museum, to recompose and restore the original appearance of its collection through a careful and rigorous process of reconstructing the museum’s historical and collecting identity. With Return to Galleria Borghese, alongside the exhibition Marcello Provenzale of Cento: A Genius of Baroque Mosaic in the Rome of the Borghese , the museum resumes its program of “dossier exhibitions.” These are research projects focused on a selected number of works from the collection, designed to explore crucial turning points in its history and restore its original character to the public, refocusing attention on a central chapter of its collecting legacy through history, attributions, and critical rediscovery. The arched panel, whose Borghese provenance is documented in 17th-century inventories as a work by Raphael—to whom Penni was a close collaborator—is displayed in the very room that houses Renaissance painting and the masterpieces of the great Umbrian and Tuscan master, marking a reunification awaited for over two centuries. The allegory is presented alongside Charity, its original pendant, now in a private collection. The reconstruction of this diptych, which was separated at the end of the 18th century, provides an opportunity to reinterpret a decisive passage in the collection’s history, from its first mentions in inventories to the Ottley sales (1797–1799), which dispersed numerous works under the pressure of Napoleonic events. Alongside the dialogue between the two panels, the exhibition explores the figure of Giovan Francesco Penni, a key protagonist in the dis",https://galleriaborghese.cultura.gov.it/en/exhibition/return-to-the-galleria-borghese/,"Found on the venue's ""past"" listing page. opening and closing date read from a sentence, not a date field: ""March 17 to May 10, 2026""."
borghese,MARCELLO PROVENZALE FROM CENTO. A GENIUS OF BAROQUE MOSAIC IN BORGHESE ROME,2026-03-17,2026-05-10,"HomeExhibitionsPast MARCELLO PROVENZALE FROM CENTO. A GENIUS OF BAROQUE MOSAIC IN BORGHESE ROME On March 17, and running until May 10, 2026, Galleria Borghese inaugurates the exhibition Marcello Provenzale from Cento: A Genius of Baroque Mosaic in Borghese Rome. Produced in collaboration with the Pinacoteca Civica “il Guercino” in Cento—where the exhibition will move in a different configuration from October 2, 2026, to January 10, 2027—the show brings back to center stage the figure of Marcello Provenzale, a leading figure in the rebirth of mosaic in the Rome of Paul V and one of the most significant moments in the revival of this practice between the 16th and 17th centuries. On the 450th anniversary of the artist’s birth, Galleria celebrates a key protagonist of artistic culture in Borghese Rome, a central figure in the transformation of mosaic into a modern language within the climate of the Counter-Reformation. With Marcello Provenzale from Cento, and the exhibition Return to Galleria Borghese: Giovan Francesco Penni and Raphael’s Workshop, the museum resumes its program of “dossier exhibitions.” These research projects, dedicated to a selected number of works from the collection, are designed to explore crucial turning points in its history and restore its original character to the public, refocusing attention on a central chapter of its collecting legacy through history, attributions, and critical rediscovery. Born in Cento in 1576 and trained as a painter, Provenzale specialized in mosaic art in Rome, participating in the construction sites of St. Peter’s Basilica starting in 1600. Working in the Clementine Chapel and on the decoration of the dome, he distinguished himself by his ability to translate the pictorial qualities of color and light into glass tesserae. Thanks to his skill, Pope Paul V entrusted him with prestigious commissions, including the execution of the Borghese coat of arms in the nave of St. Peter’s and the restoration of Giotto’s Navicella",https://galleriaborghese.cultura.gov.it/en/exhibition/marcello-provenzale-from-cento/,"Found on the venue's ""past"" listing page. opening and closing date read from a sentence, not a date field: ""March 17, and running until May 10, 2026""."
borghese,ZANABAZAR AT THE GALLERIA BORGHESE. FROM MONGOLIA TO THE GLOBAL BAROQUE,2026-01-20,2026-02-22,"HomeExhibitionsPast ZANABAZAR AT THE GALLERIA BORGHESE. FROM MONGOLIA TO THE GLOBAL BAROQUE From 20 January to 22 February 2026, the Galleria Borghese, in collaboration with the Asian Art Museum of Turin, will host two extraordinary works by the Mongolian artist Zanabazar, presenting an unprecedented dialogue between East and West under the sign of “global baroque.” In the century of Gian Lorenzo Bernini, the absolute genius of European Baroque – sculptor, painter, and architect, whose ideal home is today the Galleria Borghese thanks to the patronage of Cardinal Scipione Borghese – Asia, too, saw the rise of a figure of comparable stature: Zanabazar (1635–1723). Born in the heart of the Asian steppe, within one of the largest empires ever built by humankind, Eshidorji belonged to the noble lineage of Genghis Khan. Renowned by his spiritual name, Zanabazar, he was recognized as Öndör Gegeen, “His Holiness the Enlightened One”: the first Khutuktu Jetsundamba, the title of the highest religious authority of the Gelug school of Tibetan Buddhism in Mongolia, venerated as the reincarnation of one of the original five hundred disciples of the Buddha. An exceptionally charismatic spiritual leader, Zanabazar was also a brilliant linguist and, above all, the greatest Mongolian sculptor of the early modern period. To him and to his disciples we owe works profoundly inspired by travels and periods of residence in Tibetan monasteries, revered as sacred objects in places of worship and in the temples he founded throughout Mongolia. Among these, the representations of the Taras stand out for their exceptionally high aesthetic value: female manifestations of the Buddha, deities associated with protection, liberation, and the inner states of being. Zanabazar succeeded in spreading Buddhism in Mongolia on an unprecedented scale, making it accessible to ordinary believers. His aim was to create sculptures capable of speaking directly to the eye and the soul: natural, harmonious forms,",https://galleriaborghese.cultura.gov.it/en/exhibition/zanabazar-at-the-galleria-borghese-from-mongolia-to-the-global-baroque/,"Found on the venue's ""past"" listing page. opening and closing date read from a sentence, not a date field: ""20 January to 22 February 2026""."
borghese,WANGECHI MUTU – BLACK SOIL POEMS,2025-06-10,2025-09-14,"From June 10 to September 14, 2025, Galleria Borghese presents, for the first time within the residence of Cardinal Scipione, a solo exhibition by Kenyan-American artist Wangechi Mutu, titled Black Soil Poems, curated by Cloé Perrone. Like the recently concluded exhibition dedicated to the Baroque poet Giovan Battista Marino, this project also stems from the museum’s ongoing interest in poetry. Conceived as a site-specific intervention, it unfolds throughout the museum’s interior galleries, its façade, and the Secret Gardens. It challenges classical tradition through suspensions, fragmented forms, and newly imagined mythologies, establishing a multilayered dialogue between the artist’s contemporary language and the symbolic institutional authority. The title evokes the dual nature of Mutu’s practice: poetic and mythological, yet deeply connected to contemporary social and material contexts. “Black soil” — rich and malleable under the rain, almost like clay — appears across multiple geographies, including the Secret Gardens of the Galleria Borghese, which resonate with the artist’s imagination. From this soil, the sculptures seem to emerge, as if molded by a primordial force, giving shape to stories, myths, memories, and poems. The metaphor underscores the generative and transformative power of her work: rooted in materiality, yet open to multiple future interpretations. Wangechi Mutu’s intervention introduces a new vocabulary into the historical and symbolic architecture of the Galleria Borghese. Through sculpture, installation, and moving image, the artist proposes an innovative approach to the museum space — one that challenges hierarchy, permanence, and fixed meaning. Her works question the visual weight and authority of the collection through strategies of suspension, fluidity, and fragmentation. In doing so, the museum is no longer presented as a static container of objects, but as a living organism, in continuous transformation, shaped by loss, adaptation, and",https://galleriaborghese.cultura.gov.it/en/exhibition/black-soil-poems/,"Found on the venue's ""past"" listing page. opening and closing date read from a sentence, not a date field: ""June 10 to September 14, 2025""."
borghese,POETRY AND PAINTING IN THE 17TH CENTURY. GIOVAN BATTISTA MARINO AND THE MARVELOUS PASSION.,2024-11-19,2025-02-09,"HomeExhibitionsPast POETRY AND PAINTING IN THE 17TH CENTURY. GIOVAN BATTISTA MARINO AND THE MARVELOUS PASSION. With Poetry and Painting in the 17th Century. Giovan Battista Marino and the Marvelous Passion, the exhibition scheduled from November 19, 2024, to February 9, 2025, the Galleria Borghese explores, through an original project, the connections between poetry and painting, sacred and profane, literature, art, and power in the early 17th century. Following the path offered by the texts of Giovan Battista Marino (1569-1625), the exhibition traces a journey through the great Renaissance and Baroque art, from Titian to Tintoretto, from Correggio to the Carracci, from Rubens to Poussin, celebrating the greatest Italian poet of the 17th century and his 'marvelous' passion for painting. Curated by Emilio Russo, Patrizia Tosini, and Andrea Zezza, the exhibition focuses on the golden age of the Baroque in painting and literature, a period during which the relationship between the two arts finds perhaps its highest expression in the life and works of the poet. Known for his poem Adone (1623), centered on the love story between Adonis and Venus, Giovan Battista Marino is also the author of La Galeria (1619), a collection of 624 poetic compositions dedicated to an equal number of works of art, divided between Paintings and Sculptures, Fables and Histories. This collection was crafted with a play of reflections and a continuous expressive challenge between poetic texts and works of art, real or imaginary. The life and literary production of Giovan Battista Marino are closely tied to the masters and masterpieces of early 17th-century figurative art, with whom he came into contact in the intellectual circles and most important courts of the time: that of Matteo di Capua in Naples, of Pope Clement VIII Aldobrandini in Rome, of Giovan Carlo Doria and Giovan Vincenzo Imperiali in Genoa, and of Carlo Emanuele I in Turin. In these environments, surrounded by rich collections, th",https://galleriaborghese.cultura.gov.it/en/exhibition/poetry-and-painting-in-the-17th-century-giovan-battista-marino-and-the-marvelous-passion/,"Found on the venue's ""past"" listing page. opening and closing date read from a sentence, not a date field: ""November 19, 2024, to February 9, 2025""."
borghese,LOUISE BOURGEOIS. UNCONSCIOUS MEMORIES,,,INTRO DISCOVER BIOGRAPHY DISCOVER CELL (THE LAST CLIMB) DISCOVER JAMBES ENLACÉES DISCOVER UNTITLED (No. 7) DISCOVER TOPIARY DISCOVER UNTITLED (HEADS) DISCOVER JANUS FLEURI DISCOVER CELL XX (PORTRAIT) DISCOVER PASSAGE DANGEREUX DISCOVER SPIRAL WOMAN JANUS DISCOVER THE WELCOMING HANDS DISCOVER SPIDER DISCOVER,https://galleriaborghese.cultura.gov.it/en/exhibition/louise-bourgeois-unconscious-memories/,"Found on the venue's ""past"" listing page. The venue's page shows only ""June / 2024"" for this exhibition's dates — no day is published, only the month and year."
brera,Beauty and the Ideal,2025-05-16,2027-05-17,"From May 16, 2025, Room 1 of the Pinacoteca di Brera will be transformed to host “Beauty and the Ideal,” an unmissable exhibition dedicated to Antonio Canova. Twelve plaster busts restored by Banca Ifis, including the marble Vestal and enameled miniatures from the Sommariva collection, offer a unique journey into Neoclassicism, the founding heart of the Milanese museum. The Pinacoteca di Brera opens to the public, from May 16, 2025, “Beauty and the Ideal,” a new exhibition entirely dedicated to Antonio Canova. Protagonists are 12 plaster busts restored and lent by Banca Ifis, presented for the first time in Milan in the renovated Room 1. Alongside these masterpieces, the Vestal, a precious marble bust by the neoclassical master, returns to Brera after more than a century, along with a selection of enameled miniatures from the collection of Giovanni Battista Sommariva, a key figure in Napoleonic art. The rearrangement enhances the sculpture as an integral part of the museum itinerary and celebrates the link between Brera and Neoclassicism.",https://pinacotecabrera.org/en/news/mostra/beauty-and-the-ideal/,"Found on the venue's ""current"" listing page. Also listed on the venue's ""past"" page. Also listed on the venue's ""past"" page."
brera,Pinacoteca viaggiante,2025-05-16,2027-05-17,"The exhibition presents the extraordinary collection of 99 miniatures on enamel commissioned by Count Giovanni Battista Sommariva, a patron and neoclassical collector. Created between 1810 and 1825, the “traveling Pinacoteca” reproduces the masterpieces of his collection, transforming art into an elegant tool for personal representation. The wealthy Count Giovanni Battista Sommariva (1757-1826), a fervent supporter of Napoleon, was the greatest collector of the Neoclassical era, as well as a great patron, commissioner, and protector of artists, especially French ones. Between 1810 and 1825, the count commissioned five highly skilled miniaturists of the time (Adèle Chavassieu d’Haudebert, Henri L’Evêque, Pierre Édouard Gautier Dagoty, Giambattista Gigola, and Abraham Constantin) to reproduce many of the paintings in his collection on enamel. He thus created a “portable pinacoteca” that accompanied him on his numerous trips around Europe, proudly displaying it as his personal calling card. Nobles, princes, diplomats, ambassadors, intellectuals, and ladies who frequented the salons of the European nobility of his time observed the small paintings with wonder and amazement: a veritable “traveling pinacoteca.” Consisting of 99 beautiful miniatures in enamel on copper framed by fine gilded bronze frames, the “catalog” made great art prêt-à-porter.",https://pinacotecabrera.org/en/news/mostra/pinacoteca-viaggiante/,"Found on the venue's ""current"" listing page. Also listed on the venue's ""past"" page. Also listed on the venue's ""past"" page."
