venue_code,title,start_date,end_date,summary,url,notes
borghese,[current page],,,,https://galleriaborghese.cultura.gov.it/en/mostre/presenti/,"The venue's ""current"" listing page could not be read: the venue’s site did not respond. Marker row, not an exhibition."
borghese,[upcoming page],,,,https://galleriaborghese.cultura.gov.it/en/mostre/future/,"The venue's ""upcoming"" listing page could not be read: the venue’s site did not respond. Marker row, not an exhibition."
borghese,[past page],,,,https://galleriaborghese.cultura.gov.it/en/mostre/passate/,"The venue's ""past"" listing page could not be read: the venue’s site did not respond. Marker row, not an exhibition."
