venue_code,title,start_date,end_date,summary,url,notes
met,Rediscovering Della Robbia at The Met,2026-08-10,2028-01-17,"Renaissance sculpture in Florence was forever changed around 1440 when Luca della Robbia created a secret formula for making glazed terracotta reliefs and statuary. Luca and his heirs, Andrea and Giovanni, daringly perfected these techniques. Over the next century, the family workshop transformed local clay and colored glazes into peerless sculptures that gleamed with light. Praised during the Renaissance as “almost eternal,” today Della Robbia sculptures are often as vibrantly luminous as when they emerged from the kiln five hundred years ago. The Met has the largest, most significant collection of Della Robbia glazed terracottas in America. Most have remained in storage for decades. For the first time, Rediscovering Della Robbia at The Met features in a single gallery 12 of the Museum’s masterworks by three generations of the Della Robbia family. Rescued from storage, revived through conservation, and reattributed through fresh research, these sculptures are shown with two important loans from a private collector. Another two works are exciting sculptures by Giovanni della Robbia from the Dick Wolf Collection that complement existing works in the Museum’s collection—one is a promised gift and the other, the Mystic Mandorla lunette, recently was gifted to the Museum. Together, the exhibited sculptures span monumental reliefs composed of many interlocking pieces to small statuettes, signaling the scope of the Della Robbias’ art. Collaboration within the Della Robbia workshop fostered innovation. Rediscovering Della Robbia at The Met itself results from a collaborative exchange among curators, conservators, and digital specialists. Highlights include the exhibition’s centerpiece featuring 33 newly conserved interlocking pieces of a 10-foot-tall altarpiece that has been off view for 70 years. These are shown alongside a large, animated virtual reconstruction that uses 3D-scanning technology to suggest how the entire altar originally was assembled. Rediscovering Della",https://www.metmuseum.org/exhibitions/rediscovering-della-robbia-at-the-met,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,Cottage Industry: The Val-Kill Furniture Shop,2026-07-18,2027-05-09,"Established in 1926 by first lady Eleanor Roosevelt and fellow activists Nancy Cook and her life partner, Marion Dickerman, along with Caroline O’Day, the furniture manufacturing venture known as Val-Kill Industries revived historical furniture traditions and drew crucial inspiration from The Met’s early American holdings. In honor of the 100th anniversary of Val-Kill's founding, Cottage Industry: The Val-Kill Furniture Shop celebrates this groundbreaking enterprise, which was led by women and shaped by immigrant and rural craftspeople. Featuring loans from the Eleanor Roosevelt National Historic Site as well as the Franklin D. Roosevelt Presidential Library and Museum, the exhibition offers a fresh perspective on the American Wing's historic collections while highlighting the enduring connections between craft, design, and social reform. Bringing together over 30 works, Cottage Industry features rare examples of Val-Kill furniture alongside conceptual designs and templates that illuminate the workshop's creative process and collaborative spirit. Highlights include finely crafted desks, tables, and chairs from Eleanor Roosevelt’s home in Hyde Park. In addition, the exhibition considers complementary Arts and Crafts furniture by Gustav Stickley and the Byrdcliffe Colony as well as reflects on Val-Kill's legacy through Depression-era prints, painting, and sculpture. Presented alongside historical furniture from The Met's American Wing, these works reveal how the Museum's collections inspired Val-Kill's designs while offering visitors a closer look at the artistry, craftsmanship, and progressive ideals that defined this pioneering workshop. The exhibition is made possible by the Richard Hampton Jenrette Americana Fund.",https://www.metmuseum.org/exhibitions/cottage-industry-the-val-kill-furniture-shop,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,City of Memory: Nanjing in the Seventeenth Century,2026-06-27,2027-01-03,"Throughout Chinese history, the city of Nanjing served as the capital of multiple dynasties. Each time a dynasty was overthrown, it left behind another layer of cultural memory, creating an atmosphere in which artists found themselves surrounded by the past. Material traces of history—temples, city walls, ancient trees—blended with less tangible remains, such as views that had inspired famous artists and poetic verses they had written. In 1644, the Ming dynasty was violently overthrown, and the Qing took its place. A new layer of reminiscence was added, sparking feelings of loss and nostalgia, as the people of Nanjing saw their world shattered and another dynasty—their own—consigned to the realm of history. City of Memory: Nanjing in the Seventeenth Century explores how artists lived and worked in this charged environment in the decades before and after the fall of the Ming dynasty. Through a selection of about 100 objects, mostly from The Met collection, the exhibition illuminates both the city’s lore and complex history as well as the evolution of Nanjing painting from the 1640s to the 1680s, introducing key figures, genres, and styles. Artworks donated to The Met by Julia and John Curtis have inspired and enriched this exhibition.",https://www.metmuseum.org/exhibitions/city-of-memory-nanjing-in-the-17th-century,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,P. S. Art 2026: Celebrating the Creative Spirit of New York City Kids,2026-06-09,2026-10-26,"P. S. Art is an annual celebration of the creativity, talent, and artistic achievement of New York City Public Schools students and their dedicated art teachers. This year marks the 24th anniversary of P. S. Art, and the 19th year this juried exhibition has been presented at The Metropolitan Museum of Art. The exhibition features 125 exceptional works selected from nearly 1,000 submissions by students in prekindergarten through grade 12. The works on view—including collages, drawings, mixed-media pieces, paintings, photographs, prints, and sculptures—represent student artists from all five boroughs of New York City, as well as District 75, the citywide district serving students with disabilities. Each artwork reflects meaningful student engagement and decision making, imaginative use of materials, careful observation, and a growing understanding of artistic processes. Together, these works illuminate the ideas, questions, and discoveries that shape students’ artistic journeys from early childhood through young adulthood. Dedicated and supportive art educators play an essential role in fostering student creativity and contributing to students’ social and emotional growth. Through encouragement and thoughtful instruction, art teachers challenge students to observe the world around them and express their understanding through artistic practice. As students continue their arts education year after year, they deepen their knowledge of artistic concepts, strengthen technical skills, and develop the imagination and confidence needed to communicate their unique perspectives. Sustained, high-quality arts education is vital to ensuring that all students have opportunities to grow and thrive creatively. New York City Public Schools and the NYCPS Arts Office gratefully acknowledge Studio in a School and The Met for their valued partnership. Special thanks to Studio in a School for its sponsorship and coordination of P. S. Art 2026. NYCPS and the Arts Office also extend sincere",https://www.metmuseum.org/exhibitions/p-s-art-2026-celebrating-the-creative-spirit-of-new-york-city-kids,"Found on the venue's ""current/upcoming"" listing page. opening and closing date taken from the site's structured data, not its visible page."
met,Flip Sides: Seeing Korean Art Anew,2026-03-16,2027-05-31,"Most objects are displayed to show their “best” angle meant to impress, sometimes hiding intriguing details. Flip Sides: Seeing Korean Art Anew invites close looking and offers multiple views of the inside, reverse, or hard-to-see aspects of objects. Bringing together approximately 50 objects from The Met collection, with more than half displayed for the first time, this exhibition, with a rotation, shows treasured Korean traditions. By presenting them in ways that give us a fuller picture into each object’s unique form, Flip Sides provides insight into the construction and function of works in metal, wood, ceramic, textiles, and lacquer. A Buddhist sculpture that held offerings inside, a porcelain jar of striking openwork that conceals an inner chamber, a bronze mirror with a delicately incised image, and a king’s lacquer letter box with linings featuring impressive calligraphy are among the featured objects in Flip Sides. During the exhibition, a selection of artworks will come off view and be replaced by new works: Rotation 1: March 16–October 18, 2026 Rotation 2: October 31, 2026–May 31, 2027 The exhibition is made possible by The Kun-Hee Lee Fund for Korean Art.",https://www.metmuseum.org/exhibitions/flip-sides-seeing-korean-art-anew,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,Celebrating the Year of the Horse,2026-02-07,2027-01-26,"The traditional East Asian lunar calendar marks time through a twelve-year cycle, each year represented by the animals of the Chinese zodiac: rat, ox, tiger, rabbit, dragon, snake, horse, ram, monkey, rooster, dog, and pig. First associated with the Chinese calendar in the third century BCE and firmly established by the first century CE, these symbolic creatures are believed to embody certain traits that are manifested in the personalities of people born in that animal’s year. February 17, 2026, marks the beginning of the Year of the Horse, a creature symbolizing power, strength, and vitality. Celebrating the Year of the Horse brings together works from The Met collection to explore the horse’s enduring nature and vital place in Chinese civilization. Domesticated in prehistoric times, this animal has shaped nearly every facet of life—from agriculture and transportation to trade, warfare, sport, and entertainment. In ancient China, horse-drawn chariots transported military commanders and the social elite, while in the Tang dynasty (618–907), tall and robust horses came to embody the strength of the state and cosmopolitan spirit of the empire. In Chinese popular culture, horses are among the most celebrated animals, and in the spiritual realm they serve as noble mounts for divine guardians believed to bring joy, protection, and prosperity to the household. This presentation, featuring a range of expressive works in ceramics, glass, jade, and metal, and woodblock prints, illuminates these roles while celebrating the horse’s power, vitality, and spirit.",https://www.metmuseum.org/exhibitions/celebrating-the-year-of-the-horse,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,"Household Gods: Hindu Devotional Prints, 1860–1930",2026-01-24,2027-06-27,"In Hinduism, the act of darshan, or “seeing god,” is central to worship. This intimate exchange between deity and devotee traditionally takes place in the temple. But within each home is also a shrine, dedicated to that householder’s chosen deity. The need to display an image of the divine in the home was traditionally fulfilled by small icons made of clay or metal. In the mid-19th century, new technologies were introduced into India, first photography and then the chromolithographic press. The latter permitted the production of inexpensive prints of the Hindu gods for mass consumption. These proved immensely popular and for the first time in India, even the humblest home could afford a colorful icon of their chosen god to display in the household shrine. Household Gods: Hindu Devotional Prints, 1860–1930 presents the first encyclopedic exhibition of these chromolithographic prints from the pioneering studio presses of Calcutta (Kolkata), Poona (Pune), and Bombay (Mumbai). These mass-produced prints became a powerful means of expressing Indian religious identity at a time when the country was experiencing the first stirrings of the Independence movement. Featuring approximately 120 works, shown in four rotations, from The Met’s collection of chromolithographic prints, along with paintings and portable triptych shrines, Household Gods provides a unique window on the vibrant tradition of Indian devotional imagery on the cusp of modernity. During the exhibition, a selection of artworks will come off view and be replaced by new works: Rotation 1: January 24–May 25, 2026 Rotation 2: May 30–October 11, 2026 Rotation 3: October 17, 2026–February 21, 2027 Rotation 4: February 27–June 27, 2027",https://www.metmuseum.org/exhibitions/household-gods-hindu-devotional-prints-1860-1930,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
met,The Infinite Artistry of Japanese Ceramics,2026-01-19,2027-08-08,"From the earliest hand-built figurines rooted in spiritual beliefs to the vibrant works that define today’s contemporary ceramic art scene, Japanese pottery reflects exceptional creativity and a refined sense of beauty. Its distinctiveness arises from the ingenuity and mastery of the potters, as well as the wide range of wares that have long supported daily life. This exhibition explores Japan’s extensive and rich history of ceramic art through approximately 350 extraordinary works presented in themes that offer fresh perspectives on the diverse forms and functions, from everyday tableware to vessels created for tea masters and elite households to modern sculptural compositions. Japan’s earliest pottery dates back more than 12,000 years, when makers shaped and fired clay vessels for cooking and storage—objects that bear the traces of these early potters’ hands. Expertise transmitted from China and Korea in medieval times facilitated the development of new Japanese techniques and wares. Over time, the reverence for prized ceramics led to finding beauty even through damage. Japanese artisans developed kintsugi, the art of repairing broken ceramics with gold lacquer, restoring the damaged object’s function while making it even more precious and valuable. Japanese cuisine and dining aesthetics inspired vessels designed to harmonize with the color and texture of food. Many porcelains from the Edo period (1615–1868) are embellished with motifs drawn from the natural world or symbols of happiness, longevity, and good fortune. Featuring refined ceramics and other artworks from the Museum’s Harry G. C. Packard Collection, this exhibition celebrates the 50th anniversary of this landmark acquisition that established the foundation of The Met’s Japanese art holdings. By placing ceramics in dialogue with related art forms—including lacquers, textiles, paintings, and woodblock prints—the display inspires curiosity about the multiverse of Japanese ceramics and its broader cultural",https://www.metmuseum.org/exhibitions/the-infinite-artistry-of-japanese-ceramics,"Found on the venue's ""current/upcoming"" listing page. opening date taken from the site's structured data, not its visible page."
moma,[current/upcoming page],,,,https://www.moma.org/calendar/exhibitions,"The venue's ""current/upcoming"" listing page could not be read: the venue’s site refused us (HTTP 403). Marker row, not an exhibition."
moma,[past page],,,,https://www.moma.org/calendar/exhibitions/history,"The venue's ""past"" listing page could not be read: the venue’s site refused us (HTTP 403). Marker row, not an exhibition."
