venue_code,title,start_date,end_date,summary,url,notes
khm,Canaletto & Bellotto,2026-03-24,2026-09-06,"Explore Venice, London, and Vienna through the eyes of Canaletto and Bellotto, two of the eighteenth century’s most celebrated city painters. Discover how these Venetian masters created views that are scientifically precise and yet also dramatic compositions – works crafted to captivate an international audience. The famous city views of Giovanni Antonio Canal (better known as Canaletto) and his nephew Bernardo Bellotto (who often called himself Canaletto as well, to emphasize his connection to his celebrated uncle) take centre stage in the upcoming exhibition at the Kunsthistorisches Museum. With the help of optical devices, such as the camera obscura, these two Venetian painters surveyed European cities with scientific precision, yet creatively transformed what they saw into grand pictorial scenes. Both artists painted spectacular views of their hometown, Venice, but they both left the lagoon city to pursue their careers abroad: Canaletto moved to London, while Bellotto worked in Dresden and Vienna. Featuring major international loans – many of which have never before been exhibited in Austria – the exhibition invites you to rediscover the eighteenth-century city and two artists whose careers mirror a Europe shaped by mobility, war, and uncertainty.",https://www.khm.at/en/exhibitions/canaletto-bellotto,"Found on the venue's ""current"" listing page."
khm,Head and Shoulders. Coins in Fashion,2025-11-11,,"Coin images are among the smallest portraits in the world. Making use of extremely confined space, they show finely detailed half-length likenesses, usually in profile. The small size of coin portraits frequently calls for highly symbolic imagery. The hairstyles, garments, and accessories that are depicted go beyond being aesthetically pleasing add-ons: they reflect the Zeitgeist and open a window into the cultures of bygone ages. More than a hundred coin portraits are on show from a cultural history perspective in the exhibition Head & Shoulders, illustrating several millennia of fashion and lifestyle. Like small time capsules, coins and medals preserve the elaborate hairstyles, magnificent beards, and intricate head coverings of each period. The exhibition travels through more than 2,400 years of fashion history with the help of over 100 coins. Coins were minted in large amounts and were in daily use. A coin portrait was therefore the image that was most frequently seen by a ruler’s subjects. Hence, the way the sovereigns styled themselves carried particular importance.",https://www.khm.at/en/exhibitions/head-and-shoulders-coins-in-fashion,"Found on the venue's ""current"" listing page. Also listed on the venue's ""upcoming"" page. No closing date found anywhere on the venue's pages."
khm,My Story – Ancient Female Portraits and Their Afterlife,,2026-09-20,"The special presentation Vitrine EXTRA, which periodically showcases different ancient objects as temporary additions to the permanent exhibition of the Kunsthistorisches Museum's Collection of Greek and Roman Antiquities arrow_outward , focuses in its eighth edition on ancient portraits of women and their afterlife. Two very different, previously unexhibited female portraits offer insights into current research, which helps us restore the lost history of many objects. The Collection of Greek and Roman Antiquities at the Kunsthistorisches Museum contains around 250 Roman marble portraits, many of which have undergone numerous alterations and additions. In many cases, these date back as far as the sixteenth century and illustrate what was expected of ancient sculptures at the time, and how works of art were adapted to the tastes and purposes of the period. Ancient portraits often bring to life, in a strikingly vivid and immediate way, people who lived long ago. In our special exhibition, we let these sculptures speak for themselves. They tell us about their appearance and the important role played by an often underestimated detail: the hairstyle. It is through this that key questions in portrait research can be explored – from dating to the identity of the subjects. At the heart of the exhibition are two portraits of women. One is a marble bust, which probably depicts the deified Julia (61–89 CE) (image below), daughter of Emperor Titus and niece of Emperor Domitian of the Flavian dynasty. She wears a distinctive hairstyle with curls above her forehead, behind which a metal diadem was presumably concealed, a feature that points to her social rank and the era. Collection of Greek and Roman Antiquities, Hochparterre Maria-Theresien-Platz, 1010 Vienna Google Maps arrow_outward",https://www.khm.at/en/exhibitions/my-story-ancient-female-portraits-and-their-afterlife,"Found on the venue's ""current"" listing page. Also listed on the venue's ""upcoming"" page. No opening date published while this exhibition is running."
khm,Crime Scene Ephesus,2026-10-20,2027-03-29,"A mysterious tomb, an unexplained murder, a world in turmoil – in Ephesus, one of the most magnificent cities of the ancient world, Cleopatra’s sister Arsinoë was murdered under circumstances that remain unexplained. What role did the big players of the time – Cleopatra, Julius Caesar, Mark Anthony, and Augustus – play in it? Embark on your own investigation and discover the world of antiquity on the threshold of the Roman Imperial period. This exhibition by the Kunsthistorisches Museum is being held at the Neue Hofburg / Weltmuseum Wien. At the beginning of the 20th century, Austrian archaeologists discovered an octagonal tomb structure in Ephesus and a skeleton preserved inside it. To this day, it remains unclear who was buried in the so called “Octagon.” Based on this spectacular discovery, Crime Scene Ephesus combines archaeology, history, and the latest scientific knowledge to create a fascinating cultural and historical panorama. Alongside the “global players” of this era – Cleopatra, her allies (and lovers) Caesar and Mark Antony, and her adversary Augustus – it offers a glimpse into an age of turmoil, splendor, and cultural achievements that continue to fascinate to this day.",https://www.khm.at/en/exhibitions/crime-scene-ephesus,"Found on the venue's ""upcoming"" listing page."
khm,Bernini - Painter and Sculptor,2026-12-02,2027-04-04,"An exhibition by the Kunsthistorisches Museum in the Palais Lobkowitz The focus of the exhibition at Palais Lobkowitz is the Portrait of an Old Man, which was previously attributed to an anonymous painter. However, recent research suggests that the painter was none other than Gian Lorenzo Bernini. Known as the designer of St Peter’s Square in Rome and for his masterful sculptures, the Italian Baroque artist Bernini was one of the most outstanding artists of his time. This new discovery from the Kunsthistorisches Museum’s collection is all the more spectacular given that only a few of his once numerous portrait paintings have survived. Around ten prominent international loans invite visitors to rediscover the great artist from a surprising and hitherto little-noticed perspective. Theatermuseum, Palais Lobkowitz Lobkowitzplatz 2, 1010 Wien Google Maps arrow_outward",https://www.khm.at/en/exhibitions/bernini-painter-and-sculptor,"Found on the venue's ""upcoming"" listing page."
khm,Prime Time – Travelling with a Roman Portable Sundial,2026-09-25,2027-03-14,"The special presentation Vitrine EXTRA, which periodically showcases different ancient objects as temporary additions to the permanent exhibition of the Kunsthistorisches Museum's Collection of Greek and Roman Antiquities arrow_outward , focuses in its ninth edition on a Roman Portable Sundial. This is how we learn how portable sundials worked and just how accurately – or inaccurately! – they were able to tell the time. Even in ancient times, people used the sun to measure time. A rod (gnomon) cast a shadow whose length and position varied depending on the time of day, the position of the sun, and the season. However, reading the time from a pocket sundial required more than just a gnomon and the sun. What could interchangeable discs featuring a grid of lines and place names such as Alexandria have to do with it? From 20 October, our major special exhibition Crime Scene Ephesus: Cleopatra and Rome at the Neue Hofburg/Weltmuseum Wien takes you on a journey to ancient Alexandria, Ephesus and Rome.",https://www.khm.at/en/exhibitions/prime-time-travelling-with-a-roman-portable-sundial,"Found on the venue's ""upcoming"" listing page."
